rank,name,king,pic,dir,intro
45,辩护人,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...",电影的现实意义大过电影本身。
46,海豚湾,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...",海豚的微笑，是世界上最高明的伪装。
47,V字仇杀队,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...",一张面具背后的理想与革命。
48,死亡诗社,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,教父2,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",优雅的孤独。
50,美丽心灵,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...",爱是一切逻辑和原由。
51,指环王2：双塔奇兵,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",承前启后的史诗篇章。
52,指环王1：魔戒再现,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",传说的开始。
53,饮食男女,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...",人生不能像做菜，把所有的料都准备好了才下锅。
54,情书,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...",暗恋的极致。
55,摔跤吧！爸爸,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...",你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
56,美国往事,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...",往事如烟，无处祭奠。
57,狮子王,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",动物版《哈姆雷特》。
58,钢琴家,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...",音乐能化解仇恨。
59,素媛,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
60,天使爱美丽,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...",法式小清新。
61,七宗罪,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...",警察抓小偷，老鼠玩死猫。
62,小鞋子,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580603.jpg,"
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...",奔跑的孩子是天使。
63,被嫌弃的松子的一生,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...",以戏谑来戏谑戏谑。
64,致命魔术,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...",孪生蝙蝠侠大战克隆金刚狼。
65,音乐之声,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,"
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...",用音乐化解仇恨，让歌声串起美好。
66,本杰明·巴顿奇事,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...",在时间之河里感受溺水之苦。
67,勇敢的心,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",史诗大片的典范。
68,西西里的美丽传说,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...",美丽无罪。
69,剪刀手爱德华,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,"
                            导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...",浪漫忧郁的成人童话。
70,低俗小说,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...",故事的高级讲法。
71,黑客帝国,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...",视觉革命。
72,拯救大兵瑞恩,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",美利坚精神输出大片No1.
73,看不见的客人,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,"
                            导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...",你以为你以为的就是你以为的。
74,沉默的羔羊,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...",安东尼·霍普金斯的顶级表演。
75,让子弹飞,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...",你给我翻译翻译，神马叫做TMD的惊喜。
